Date,Account,Category,Subcategory,Note,NRS,Income/Expense,Note,Amount,Currency,Account
11/24/2021 19:26,CUB - online payment,Food,,Snack,15,Expense,,15,NRS,15
11/24/2021 19:23,CUB - online payment,Food,,Dinner,70,Expense,,70,NRS,70
11/24/2021 19:06,CUB - online payment,Food,,Panipoori,20,Expense,,20,NRS,20
11/24/2021 19:06,CUB - online payment,Transportation,,Rapido,58,Expense,,58,NRS,58
11/23/2021 22:53,CUB - online payment,Transportation,,Rapido,50,Expense,,50,NRS,50
11/23/2021 22:53,CUB - online payment,Food,,Dinner,179,Expense,,179,NRS,179
11/22/2021 14:16,CUB - online payment,Food,,Dinner,90,Expense,,90,NRS,90
11/22/2021 14:16,CUB - online payment,Food,,Lunch with company,97,Expense,,97,NRS,97
11/21/2021 17:07,CUB - online payment,Transportation,,Rapido,130,Expense,,130,NRS,130
11/21/2021 15:50,CUB - online payment,Food,,Lunch,875,Expense,,875,NRS,875
11/21/2021 13:30,CUB - online payment,Other,,Got from gobi,2000,Income,,2000,NRS,2000
